Жанр фильма,"Продолжительность, часы","Продолжительность, минуты",Страна производства,Год производства
Триллер,0,39,Италия,
Документальный,1,55,Россия,2015.0
Триллер,1,0,Россия,2010.0
Драма,1,22,Германия,2011.0
Боевик,5,39,США,2015.0
Боевик,2,36,Россия,2014.0
Триллер,1,56,Франция,2005.0
Триллер,1,45,Италия,2012.0
Драма,1,38,США,2010.0
Драма,1,35,Россия,2011.0
Боевик,нет данных,53,Россия,2008.0
Триллер,1,35,Россия-Италия,2006.0
Боевик,нет данных,39,Россия-Италия,2000.0
Боевик,1,25,Россия,2011.0
Комедия,2,52,Россия,2008.0
Драма,1,30,Германия,2013.0
Триллер,нет данных,27,Россия,2014.0
Драма,0,45,Италия,2004.0
Триллер,1,47,Италия,2022.0
Драма,1,20,Россия,
Комедия,1,29,Россия,2005.0
Боевик,нет данных,24,Германия,2013.0
Триллер,1,45,Россия,2013.0
Драма,1,46,Россия-Германия,2013.0
Драма,1,10,Германия,2011.0
Документальный,1,0,Германия,2007.0
Триллер,1,8,США,2008.0
Драма,2,15,США,2002.0
Триллер,0,26,Россия,2006.0
Драма,1,50,Италия,2011.0
Триллер,1,6,США,2011.0
Драма,1,10,Россия,2012.0
Триллер,нет данных,51,США,2007.0
Боевик,1,42,Россия,2008.0
Триллер,1,15,США,2013.0
Драма,1,33,США,2011.0
Драма,0,40,Россия,2010.0
Драма,1,55,США,2018.0
Драма,нет данных,26,США,2009.0
Боевик,1,20,США,2008.0
Триллер,1,62,Россия,2004.0
Боевик,1,30,Италия,2010.0
Триллер,нет данных,54,США,2006.0
Драма,2,15,Франция,2007.0
Драма,1,10,Италия,2015.0
Драма,нет данных,19,Россия,2013.0
Документальный,1,33,США,2013.0
Боевик,1,20,Франция,
Документальный,1,32,Россия,
Триллер,нет данных,18,Германия,
Документальный,1,22,США,2012.0
Триллер,нет данных,44,Россия,2018.0
Комедия,2,9,Франция,2009.0
Драма,1,36,США-Германия,2009.0
Комедия,1,45,Италия,2013.0
Драма,1,6,Италия,2011.0
Драма,1,37,Россия,2004.0
Боевик,2,30,Германия,2008.0
Боевик,1,45,Россия-Франция,2012.0
Документальный,нет данных,0,Россия,2009.0
Боевик,нет данных,55,Россия,2002.0
Комедия,1,10,Италия,2001.0
Боевик,0,63,Россия-Франция,2009.0
Триллер,0,30,Италия,2010.0
Боевик,1,44,США,2004.0
Боевик,0,26,Россия,2002.0
Драма,нет данных,60,Германия,2012.0
Драма,0,13,США,2013.0
Драма,1,34,Германия,2012.0
Боевик,1,35,Россия-Франция,2012.0
Комедия,1,39,Франция,2019.0
Боевик,нет данных,10,США,2013.0
Боевик,2,52,США,
Боевик,нет данных,2,Германия,2016.0
Документальный,0,16,Россия,
Триллер,нет данных,50,Россия,2011.0
Боевик,1,25,Россия,2009.0
Драма,1,53,США,2007.0
Документальный,1,20,Россия-Италия,2013.0
Драма,1,23,Россия,2010.0
Боевик,3,30,Италия,2014.0
Боевик,1,23,США,
Триллер,1,24,США,2003.0
Комедия,1,52,Германия,2011.0
Триллер,нет данных,19,США,2007.0
Драма,нет данных,33,США-Германия,2007.0
Драма,1,30,Германия,2010.0
Комедия,1,0,Россия,2005.0
Боевик,1,23,Россия,2011.0
Драма,1,43,Россия,2011.0
Документальный,2,28,Германия,2009.0
Боевик,нет данных,10,США,2007.0
Боевик,1,59,Россия,2009.0
Драма,1,30,Россия,2005.0
Драма,1,52,Россия,2008.0
Документальный,1,3,Россия,2007.0
Драма,1,44,США,2016.0
Триллер,0,45,Россия-Франция,2012.0
Боевик,8,40,Россия-Германия,2018.0
Документальный,0,56,Россия,2005.0
Боевик,1,56,Италия,2010.0
Комедия,нет данных,56,Германия-Франция,2007.0
Триллер,нет данных,34,США,2003.0
Боевик,1,50,Россия,2008.0
Боевик,1,10,США,2010.0
Триллер,1,30,Франция,2014.0
Боевик,1,20,США,2018.0
Драма,1,35,Германия,2009.0
Триллер,1,26,Россия-Франция,2016.0
Драма,2,16,США,2012.0
Документальный,нет данных,35,Россия,2012.0
Триллер,1,29,США,2014.0
Драма,2,45,Германия,2013.0
Боевик,нет данных,34,Италия,2011.0
Триллер,20,43,Италия,2011.0
Документальный,6,26,США,
Боевик,нет данных,41,Италия,2014.0
Драма,нет данных,55,Россия,2005.0
Документальный,0,36,Франция,2006.0
Комедия,1,33,Германия,2011.0
Боевик,2,32,Италия,2004.0
Триллер,1,30,Германия-Франция,
Триллер,1,0,Россия,2018.0
Драма,1,51,Россия,2016.0
Драма,2,53,Россия,2010.0
Боевик,1,18,Россия,2007.0
Драма,нет данных,17,США,2010.0
Боевик,0,52,Россия,2014.0
Боевик,нет данных,16,Германия,2009.0
Драма,2,50,США,2014.0
Драма,1,26,США,2007.0
Документальный,1,26,США,2011.0
Драма,1,18,США,2011.0
Комедия,1,8,Россия,2017.0
Боевик,нет данных,8,Россия,2002.0
Драма,0,50,Франция,2004.0
Триллер,нет данных,0,США,2006.0
Документальный,5,40,США,
Драма,нет данных,15,Россия,2005.0
Документальный,2,8,Германия,2011.0
Комедия,1,30,Россия,2012.0
Драма,0,26,Россия,2004.0
Документальный,1,28,Россия,2007.0
Комедия,1,0,Италия,
Драма,1,30,Германия,2002.0
Триллер,1,46,Германия,2006.0
Триллер,13,52,Германия,2004.0
Драма,1,40,Россия-Франция,2010.0
Комедия,1,8,США,1999.0
Триллер,2,15,Россия,2007.0
Драма,1,21,США,
Боевик,1,0,Россия,
Боевик,1,44,Россия-Франция,2002.0
Боевик,нет данных,30,Франция,2009.0
Документальный,5,4,Россия,2014.0
Триллер,1,59,Россия-Франция,2016.0
Боевик,1,17,США,2015.0
Боевик,1,40,Германия,2012.0
Документальный,2,51,Россия-Италия,2015.0
Драма,2,43,Германия,2008.0
Драма,2,31,Россия,1999.0
Драма,0,50,Германия,2012.0
Документальный,1,0,Россия,2009.0
Документальный,2,6,Франция,
Боевик,0,53,Россия,
Боевик,1,9,США,2017.0
Боевик,0,45,Россия,2011.0
Боевик,1,40,Италия,2012.0
Драма,2,32,США,
Триллер,12,27,Россия,2006.0
Документальный,1,13,США,2013.0
Триллер,нет данных,30,Франция,2009.0
Комедия,1,52,Россия,2007.0
Драма,2,10,Россия,2022.0
Триллер,1,57,США,2003.0
Драма,1,54,Россия,
Боевик,1,35,Германия,2004.0
Боевик,1,42,Италия,2017.0
Драма,1,30,Россия,2005.0
Комедия,1,38,Россия,2008.0
Драма,нет данных,42,Россия,2013.0
Драма,нет данных,23,Россия,2003.0
Боевик,нет данных,35,Германия,2001.0
Драма,нет данных,108,Россия,2008.0
Триллер,нет данных,8,США,2008.0
Боевик,нет данных,39,Германия,2009.0
Боевик,нет данных,112,США,2009.0
Боевик,1,22,Россия,2008.0
Боевик,2,3,Франция,1998.0
Боевик,2,47,США,2014.0
Комедия,1,32,США,1998.0
Драма,1,39,Германия,2014.0
Боевик,1,44,Россия-Италия,1999.0
Документальный,1,11,США,
Документальный,1,20,Россия,2014.0
Триллер,1,30,США,2006.0
Драма,1,42,Франция-Италия,2005.0
Боевик,1,44,Россия,
Комедия,1,34,Россия,
Триллер,1,3,Россия-Франция,2006.0
Боевик,1,28,Россия,2007.0
Драма,1,13,Германия,
Боевик,1,26,Россия,2003.0
Комедия,2,2,Россия-Италия,2014.0
Триллер,1,4,Германия,2019.0
Триллер,1,8,Россия,2013.0
Боевик,1,26,Россия,2005.0
Драма,2,52,США,2010.0
Боевик,1,54,Россия,2008.0
Комедия,2,42,Россия,2014.0
Драма,1,40,Россия,2010.0
Боевик,0,29,Франция,2004.0
Триллер,1,0,Италия,2019.0
Боевик,2,56,Россия,2007.0
Боевик,1,5,Италия,
Триллер,1,54,Германия,
Боевик,2,55,Франция,2005.0
Документальный,1,39,Россия,2012.0
Триллер,1,25,США,2018.0
Драма,0,58,Россия,2003.0
Триллер,0,33,Россия,2002.0
Драма,нет данных,8,Россия,2006.0
Драма,2,48,Россия-Германия,2014.0
Триллер,1,39,Италия,2010.0
Драма,1,41,Россия,2011.0
Комедия,1,38,Россия,2008.0
Боевик,0,40,Россия,2009.0
Документальный,нет данных,32,Италия,
Боевик,1,32,Россия,2015.0
Документальный,нет данных,2,Россия-Германия,2012.0
Боевик,2,0,Германия,2009.0
Драма,1,30,Россия,2011.0
Боевик,2,39,Россия,2008.0
Боевик,нет данных,8,Россия-Франция,2003.0
Боевик,1,30,Франция-Италия,2007.0
Драма,1,36,Россия,2009.0
Триллер,нет данных,39,Италия,2007.0
Документальный,1,22,Россия,2007.0
Комедия,нет данных,15,Россия,2012.0
Драма,2,0,Россия-Германия,2002.0
Драма,1,18,США,2006.0
Драма,1,4,США,2012.0
Драма,нет данных,41,США,2008.0
Драма,1,50,Италия,2004.0
Драма,1,57,США,2005.0
Документальный,1,26,Россия,2010.0
Боевик,1,7,США,2010.0
Боевик,1,16,Россия,2001.0
Триллер,нет данных,44,Россия,2012.0
Драма,нет данных,50,Россия,2004.0
Драма,1,36,Россия,2018.0
Боевик,1,52,Франция,
Драма,1,51,Россия,2005.0
Боевик,нет данных,26,США,2010.0
Драма,1,52,Россия,2007.0
Боевик,1,30,Россия,2007.0
Драма,1,26,Франция-Италия,2004.0
Драма,1,26,Россия,2014.0
Драма,нет данных,26,США,2004.0
Боевик,1,35,Россия,2005.0
Драма,2,55,США,2009.0
Триллер,0,34,Франция,
Драма,1,43,Италия,2012.0
Комедия,1,0,Россия,2001.0
Триллер,нет данных,14,Россия-Германия,2009.0
